id_code,year,st,cnty,num_anglers,mode_fx,area_x,hrsf,ffdays2,cntrbtrs,sub_reg,wave,prim1,prim2,region,tot_cat_targ
1572020170519004,2017,12,87,2,5,3,4,1,1,7,3,8738020201,NA,FL_Keys,0
1572020170519005,2017,12,87,1,5,3,2,1,2,7,3,8835020000,NA,FL_Keys,0
1572020170519006,2017,12,87,1,5,3,5,1,2,7,3,NA,NA,FL_Keys,1
1572020170519007,2017,12,87,1,5,4,4,0,3,7,3,NA,NA,FL_Keys,33.21950823049014
1572020170519008,2017,12,87,2,5,3,5.5,0,3,7,3,8835360401,8835430000,FL_Keys,24.084143467105353
1572020170523001,2017,12,87,1,5,3,3.5,0,1,7,3,NA,NA,FL_Keys,0
1572020170523002,2017,12,87,2,5,3,3.5,8,2,7,3,8835360000,NA,FL_Keys,1.0808497389345448
1572020170528001,2017,12,87,6,5,3,3,0,8,7,3,8835360401,NA,FL_Keys,18.11850823361764
1572020170528009,2017,12,87,3,5,3,2.5,1,1,7,3,NA,NA,FL_Keys,0
1572020170528010,2017,12,87,2,5,3,4.5,1,2,7,3,NA,NA,FL_Keys,0
1572020170528012,2017,12,87,2,5,3,5,0,2,7,3,NA,NA,FL_Keys,0
1572020170528014,2017,12,87,2,5,4,3,1,2,7,3,NA,NA,FL_Keys,0
1572020170528016,2017,12,87,2,5,4,5,0,3,7,3,NA,NA,FL_Keys,0
1572020170604001,2017,12,87,1,7,3,2.5,24,1,7,3,NA,NA,FL_Keys,4
1572020170605002,2017,12,87,2,5,3,3.5,1,1,7,3,NA,NA,FL_Keys,0
1572020170605004,2017,12,87,2,7,4,4,4,2,7,3,8835290101,NA,FL_Keys,0
1572020170609001,2017,12,87,2,5,4,2.5,3,2,7,3,8835020000,NA,FL_Keys,0
1572020170611004,2017,12,87,1,5,4,4,40,2,7,3,NA,NA,FL_Keys,0
1572020170623001,2017,12,87,1,7,3,1,11,1,7,3,NA,NA,FL_Keys,1
1572020170624005,2017,12,87,6,5,4,7,2,6,7,3,NA,NA,FL_Keys,9.140473488960554
1572020170624011,2017,12,87,3,5,4,5,4,4,7,3,8850030400,8835290101,FL_Keys,0
1572020170625004,2017,12,87,4,7,3,4,0,1,7,3,NA,NA,FL_Keys,0
1572020170625007,2017,12,87,2,7,3,6,4,1,7,3,NA,NA,FL_Keys,0
1573520170513001,2017,12,87,2,7,4,2,4,1,7,3,NA,NA,FL_Keys,1
1573520170513002,2017,12,87,2,7,4,2,1,1,7,3,NA,NA,FL_Keys,0
1573520170513003,2017,12,87,1,7,4,4,20,3,7,3,8835280902,8835360401,FL_Keys,7.292191212684993
1573520170513004,2017,12,87,3,7,4,4,3,3,7,3,NA,NA,FL_Keys,0
1573520170527001,2017,12,87,1,7,4,4,8,2,7,3,NA,NA,FL_Keys,9.636221879412481
1573520170529001,2017,12,87,1,7,4,4.5,10,1,7,3,NA,NA,FL_Keys,4
1574920170604001,2017,12,87,1,7,3,7,4,1,7,3,8835360103,8835020000,FL_Keys,0
1574920170605003,2017,12,87,3,5,3,3,3,1,7,3,NA,NA,FL_Keys,0
1574920170605001,2017,12,87,3,5,3,3,3,1,7,3,NA,NA,FL_Keys,1
1574920170605004,2017,12,87,4,5,3,3,0,3,7,3,8835440100,NA,FL_Keys,0
1574920170605008,2017,12,87,2,5,3,2.5,7,4,7,3,NA,NA,FL_Keys,0
1574920170605015,2017,12,87,1,7,3,2,40,1,7,3,8835360102,8708020000,FL_Keys,0
1574920170605018,2017,12,87,3,5,4,8,0,3,7,3,NA,NA,FL_Keys,0
1574920170605025,2017,12,87,2,5,3,5,2,3,7,3,8738020201,NA,FL_Keys,0
1507120170701003,2017,12,87,1,7,3,5,8,4,7,4,NA,NA,FL_Keys,0
1507120170701004,2017,12,87,4,7,4,4,15,4,7,4,8835360401,NA,FL_Keys,22.0212251959059
1507120170723002,2017,12,87,2,7,3,0.5,0,1,7,4,NA,NA,FL_Keys,0
1507120170723001,2017,12,87,2,7,3,0.5,0,1,7,4,NA,NA,FL_Keys,0
1507120170723003,2017,12,87,1,7,3,0.5,0,1,7,4,NA,NA,FL_Keys,0
1507120170827002,2017,12,87,2,7,3,2,0,1,7,4,NA,NA,FL_Keys,0
1507120170827003,2017,12,87,2,7,4,1,1,1,7,4,8835020000,8835360000,FL_Keys,0
1563120170704003,2017,12,87,2,5,4,4,1,2,7,4,8835290101,NA,FL_Keys,0
1563120170715001,2017,12,87,1,7,3,7,6,1,7,4,NA,NA,FL_Keys,0
1563120170723001,2017,12,87,2,5,4,2,1,6,7,4,8835360000,NA,FL_Keys,2.4648052294287903
1563120170810001,2017,12,87,2,5,4,4,0,1,7,4,NA,NA,FL_Keys,0
1563120170810003,2017,12,87,2,5,4,7,1,2,7,4,NA,NA,FL_Keys,0
1563120170812002,2017,12,87,1,5,4,4,0,1,7,4,NA,NA,FL_Keys,1.9828667566323495
1563120170812003,2017,12,87,3,7,4,3,1,4,7,4,8835290101,8850030404,FL_Keys,0
1563120170813002,2017,12,87,2,7,4,4,3,1,7,4,NA,NA,FL_Keys,5
1563120170813001,2017,12,87,2,7,4,4,3,1,7,4,NA,NA,FL_Keys,0
1563120170813004,2017,12,87,2,7,4,4,8,1,7,4,8835360401,NA,FL_Keys,13
